"","X","cuisine","phone","name.x","zipcode","grade","score","name.y","rating","price","url","cuisine.type"
"24",24,2,7182201300,"EBE YE YIE AFRICAN RESTAURANT",10468,"A",11,"Ebe Ye Yie",4.5,2,"http://www.yelp.com/biz/ebe-ye-yie-bronx","African"
"25",25,2,2122806980,"SALIMATA RESTAURANT",10026,"A",11,"Salimata Restaurant",4,1,"http://www.yelp.com/biz/salimata-restaurant-new-york","African"
"26",26,2,3476275151,"FESTAC GRILL",11207,NA,21,"Festac Grill",4,2,"http://www.yelp.com/biz/festac-grill-brooklyn","African"
"27",27,2,7186779500,"9JA VILLA RESTAURANT",11234,"B",20,"9ja Villa Nigerian Restaurant and Bar",3.5,2,"http://www.yelp.com/biz/9ja-villa-nigerian-restaurant-and-bar-brooklyn","African"
"28",28,2,7182300523,"JOLOFF 2",11216,"A",13,"Joloff Restaurant",3.5,2,"http://www.yelp.com/biz/joloff-restaurant-brooklyn","African"
"29",29,2,7189929199,"ASSA AFRICAN AMERICAN RESTAURANT",10456,"A",8,"African American Restaurant",3,1,"http://www.yelp.com/biz/african-american-restaurant-bronx","African"
"30",30,2,3475748325,"BISMELAHE",11216,NA,60,"Bismelahe Restaurant",2,1,"http://www.yelp.com/biz/bismelahe-restaurant-brooklyn","African"
"31",31,2,7188559190,"MADIBA",11205,"A",7,"Madiba Restaurant",3.5,2,"http://www.yelp.com/biz/madiba-restaurant-brooklyn","African"
"32",32,2,3477874320,"RESTAURANT ABIDJAN",11221,"A",7,"Abidjan",3,1,"http://www.yelp.com/biz/abidjan-brooklyn","African"
"33",33,2,7186588501,"AFRICANA RESTAURANT",11435,NA,19,"Africana Restaurant",4,2,"http://www.yelp.com/biz/africana-restaurant-jamaica","African"
"34",34,2,3477874320,"RESTAURANT ABIDJAN",11221,"A",7,"Abidjan",3,1,"http://www.yelp.com/biz/abidjan-brooklyn","African"
"35",35,2,2122342030,"LA NOMADE RESTAURANT",10039,"B",23,"La Nomade Restaurant Cafe and Bakery",4.5,2,"http://www.yelp.com/biz/la-nomade-restaurant-cafe-and-bakery-manhattan","African"
"36",36,2,2123685005,"KEUR SOKHNA RESTAURANT",10027,"A",13,"Keur Sokhna Restaurant",4,2,"http://www.yelp.com/biz/keur-sokhna-restaurant-harlem","African"
"37",37,2,7189491683,"TROPICAL GRILL",11434,"A",11,"Tropical Grill",2.5,2,"http://www.yelp.com/biz/tropical-grill-jamaica","African"
"38",38,2,7182063538,"MAIMA LIBERIAN BISTRO",11433,"B",15,"Maima's",4,1,"http://www.yelp.com/biz/maimas-jamaica","African"
"39",39,2,7187921700,"FOUTA FOOD",10472,"A",12,"Fouta African American Restaurant",3,NA,"http://www.yelp.com/biz/fouta-african-american-restaurant-bronx","African"
"40",40,2,7186040964,"VCHRIS",11203,"B",22,"New Combination Restaurant",4,2,"http://www.yelp.com/biz/new-combination-restaurant-brooklyn","African"
"41",41,2,3472715457,"WEST AFRICAN RESTAURANT",10456,"A",9,"Bognan International Corp West African Restaurant",5,1,"http://www.yelp.com/biz/bognan-international-corp-west-african-restaurant-new-york","African"
"42",42,2,2124105982,"NEW IVOIRE",10035,"A",12,"New Ivoire",4,2,"http://www.yelp.com/biz/new-ivoire-new-york","African"
"43",43,2,7186040964,"VCHRIS",11203,"B",22,"New Combination Restaurant",4,2,"http://www.yelp.com/biz/new-combination-restaurant-brooklyn","African"
"44",44,2,2128644700,"LE  BAOBAB RESTAURANT",10026,NA,26,"Le Baobab Restaurants",3.5,2,"http://www.yelp.com/biz/le-baobab-restaurants-new-york","African"
"45",45,2,9175043098,"ACCRA RESTAURANT",10027,"B",15,"Accra",2.5,NA,"http://www.yelp.com/biz/accra-new-york","African"
"46",46,2,2123685005,"KEUR SOKHNA RESTAURANT",10027,"A",13,"Keur Sokhna Restaurant",4,2,"http://www.yelp.com/biz/keur-sokhna-restaurant-harlem","African"
"47",47,2,2128669700,"LES AMBASSADES BAR RESTAURANT",10027,NA,62,"Les Ambassades",4,4,"http://www.yelp.com/biz/les-ambassades-new-york-2","African"
"48",48,2,2123153315,"BRAAI",10019,"A",11,"Braai",3.5,3,"http://www.yelp.com/biz/braai-new-york-2","African"
"49",49,2,7187393980,"MATAHEKO AFRICAN RESTAURANT AND LOUNGE",11435,"A",10,"Mataheko",3.5,2,"http://www.yelp.com/biz/mataheko-jamaica","African"
"50",50,2,7182937700,"EYE ADOM AFRICAN & SPANISH RESTAURANT",10452,"B",15,"Eye Adom African & American Restaurant",2,1,"http://www.yelp.com/biz/eye-adom-african-and-american-restaurant-bronx","African"
"51",51,2,7182937700,"EYE ADOM AFRICAN & SPANISH RESTAURANT",10452,"B",15,"Eye Adom African & American Restaurant",2,1,"http://www.yelp.com/biz/eye-adom-african-and-american-restaurant-bronx","African"
"52",52,2,7187317992,"ADAYA AFRICAN AMERICAN RESTAURANT",10457,"A",10,"B.B. African & American Restaurant",4,1,"http://www.yelp.com/biz/b-b-african-and-american-restaurant-bronx","African"
"53",53,2,2128669700,"LES AMBASSADES BAR RESTAURANT",10027,NA,62,"Les Ambassades",4,4,"http://www.yelp.com/biz/les-ambassades-new-york-2","African"
"54",54,2,9175043098,"ACCRA RESTAURANT",10027,"B",15,"Accra",2.5,NA,"http://www.yelp.com/biz/accra-new-york","African"
"55",55,2,2123153315,"BRAAI",10019,"B",23,"Braai",3.5,3,"http://www.yelp.com/biz/braai-new-york-2","African"
"56",56,2,7186813240,"PAPA YE RESTAURANT",10456,"A",7,"Papaye Restaurant",4,2,"http://www.yelp.com/biz/papaye-restaurant-bronx","African"
"57",57,2,3476275151,"FESTAC GRILL",11207,NA,21,"Festac Grill",4,2,"http://www.yelp.com/biz/festac-grill-brooklyn","African"
"58",58,2,2124105982,"NEW IVOIRE",10035,"A",12,"New Ivoire",4,2,"http://www.yelp.com/biz/new-ivoire-new-york","African"
"59",59,2,2126908052,"AFRICAN AMERICAN BEST FOOD",10037,"A",9,"African American Best Food Inc",4,NA,"http://www.yelp.com/biz/african-american-best-food-inc-new-york","African"
"60",60,2,2122342030,"LA NOMADE RESTAURANT",10039,"B",23,"La Nomade Restaurant Cafe and Bakery",4.5,2,"http://www.yelp.com/biz/la-nomade-restaurant-cafe-and-bakery-manhattan","African"
"61",61,2,7182201300,"EBE YE YIE AFRICAN RESTAURANT",10468,"A",11,"Ebe Ye Yie",4.5,2,"http://www.yelp.com/biz/ebe-ye-yie-bronx","African"
"62",62,3,7188993499,"WOODSIDE CAFE",11377,"A",11,"Woodside Cafe",3,2,"http://www.yelp.com/biz/woodside-cafe-woodside-3","American"
"63",63,3,7188993499,"WOODSIDE CAFE",11377,"A",11,"Sean Og Tavern",3.5,1,"http://www.yelp.com/biz/sean-og-tavern-woodside","American"
"64",64,3,2126611110,"FOOD WORLD",10017,"B",22,"Food World",3.5,2,"http://www.yelp.com/biz/food-world-new-york","American"
"65",65,3,2123040244,"UPTOWN SOCIAL",10040,NA,69,"Uptown Social",2,2,"http://www.yelp.com/biz/uptown-social-new-york","American"
"66",66,3,2122285100,"NORTHERN SPY FOOD CO.",10009,"A",12,"Northern Spy Food Co.",4,2,"http://www.yelp.com/biz/northern-spy-food-co-new-york","American"
"67",67,3,7189374740,"PANERA BREAD",11101,"A",11,"Panera Bread",3.5,2,"http://www.yelp.com/biz/panera-bread-long-island-city","American"
"68",68,3,3477632938,"CANTINA ROYAL",NA,"A",12,"Cantina Royal",4,2,"http://www.yelp.com/biz/cantina-royal-brooklyn","American"
"69",69,3,7188999553,"LEGENDS BAR & GRILL",11372,"A",11,"Legends Bar & Grill",4,2,"http://www.yelp.com/biz/legends-bar-and-grill-jackson-heights","American"
"70",70,3,2127720916,"NECTAR OF 82ND STREET",10028,"A",10,"Nectar",3,2,"http://www.yelp.com/biz/nectar-new-york","American"
"71",71,3,2129295050,"FATTY 'CUE",10014,"B",17,"Fatty 'Cue",3,3,"http://www.yelp.com/biz/fatty-cue-new-york","American"
"72",72,3,2127771447,"CAFE ORLIN",10003,"A",10,"Café Orlin",4,2,"http://www.yelp.com/biz/caf%C3%A9-orlin-new-york-2","American"
"73",73,3,7187618379,"HENNY'S RESTAURANT",10314,"A",8,"Henny's Restaurant & Bar",1.5,NA,"http://www.yelp.com/biz/hennys-restaurant-and-bar-staten-island","American"
"74",74,3,2123040244,"UPTOWN SOCIAL",10040,NA,69,"Uptown Social",2,2,"http://www.yelp.com/biz/uptown-social-new-york","American"
"75",75,3,2124759221,"THE BACK FENCE",10012,"A",12,"Back Fence Bar",3,1,"http://www.yelp.com/biz/back-fence-bar-new-york","American"
"76",76,3,2129381333,"CAFE B'WAY 46",10036,NA,51,"Cafe Abbondanza",4,1,"http://www.yelp.com/biz/cafe-abbondanza-new-york","American"
"77",77,3,7189374040,"PETEY'S BURGER",11101,"A",7,"Petey's Burger",3.5,2,"http://www.yelp.com/biz/peteys-burger-long-island-city","American"
"78",78,3,7186053663,"PK'S",10312,"A",12,"PK's",3.5,2,"http://www.yelp.com/biz/pks-staten-island","American"
"79",79,3,7185999109,"GORDON BENNETT",NA,"A",12,"Gordon Bennett",4,2,"http://www.yelp.com/biz/gordon-bennett-brooklyn","American"
"80",80,3,2126494664,"FUEL",10036,"A",12,"Fuel Grill & Juice Bar",4,2,"http://www.yelp.com/biz/fuel-grill-and-juice-bar-new-york","American"
"81",81,3,6463516520,"TOMPKINS SQUARE BAGELS",10009,"A",5,"Tompkins Square Bagels",4,1,"http://www.yelp.com/biz/tompkins-square-bagels-new-york","American"
"82",82,3,2126479600,"BONE LICK PARK",10014,"A",5,"Bone Lick Park BBQ",3,2,"http://www.yelp.com/biz/bone-lick-park-bbq-new-york","American"
"83",83,3,6464166709,"PARADIS TO GO",10003,"A",13,"Paradis To-Go",4,1,"http://www.yelp.com/biz/paradis-to-go-new-york","American"
"84",84,3,7185999899,"THE BROOKLYN STAR",11211,"A",4,"Brooklyn Star",4,2,"http://www.yelp.com/biz/brooklyn-star-brooklyn","American"
"85",85,3,6463660235,"HEARTLAND BREWERY",10036,"A",10,"Heartland Brewery",3.5,2,"http://www.yelp.com/biz/heartland-brewery-new-york-11","American"
"86",86,3,2123431139,"IVY'S BISTRO",10013,"A",10,"Ivy's Bistro",3.5,2,"http://www.yelp.com/biz/ivys-bistro-new-york","American"
"87",87,3,2126652800,"COMMUNITY FOOD AND JUICE",10025,"B",22,"Community Food & Juice",3.5,2,"http://www.yelp.com/biz/community-food-and-juice-new-york","American"
"88",88,3,7189371120,"DORIAN CAFE",11101,"A",11,"Dorian Cafe",3,2,"http://www.yelp.com/biz/dorian-cafe-long-island-city","American"
"89",89,3,6464299400,"WAHI DINER",10032,"A",12,"Wahi Diner",3,1,"http://www.yelp.com/biz/wahi-diner-new-york","American"
"90",90,3,2123343706,"RANDOLPH BEER",10013,"A",7,"Randolph Beer",4,2,"http://www.yelp.com/biz/randolph-beer-new-york","American"
"91",91,3,7184564014,"BILL'S RESTAURANT",11385,"A",12,"Bill's Restaurant",4.5,1,"http://www.yelp.com/biz/bills-restaurant-ridgewood","American"
"92",92,3,2123344430,"GATSBY'S",10012,"B",16,"Gatsby's Bar & Restaurant",2.5,2,"http://www.yelp.com/biz/gatsbys-bar-and-restaurant-new-york","American"
"93",93,3,2126279191,"HUDSON DINER",10014,"A",10,"Hudson Diner",3.5,2,"http://www.yelp.com/biz/hudson-diner-new-york","American"
"94",94,3,2123333500,"ENERGY KITCHEN",10036,"A",10,"Energy Kitchen",2.5,1,"http://www.yelp.com/biz/energy-kitchen-new-york-2","American"
"95",95,3,2122332255,"DANTE'S GOURMET FOOD",10038,"A",8,"Dante's Gourmet Foods",3.5,1,"http://www.yelp.com/biz/dantes-gourmet-foods-new-york","American"
"96",96,3,2123366440,"CHELSEA BREWING",10011,"A",10,"Chelsea Brewing Company",2.5,2,"http://www.yelp.com/biz/chelsea-brewing-company-new-york","American"
"97",97,3,7182612881,"RIPE JUICE BAR & GRILL",11375,"A",6,"Ripe Juice Bar & Grill",3.5,2,"http://www.yelp.com/biz/ripe-juice-bar-and-grill-forest-hills","American"
"98",98,3,2123347320,"BURGER & BARREL",10012,"A",10,"B&B Wine Pub",3.5,2,"http://www.yelp.com/biz/b-and-b-wine-pub-new-york","American"
"99",99,3,2122260211,"DELICATESSEN MACBAR",10012,"A",12,"Delicatessen",3.5,2,"http://www.yelp.com/biz/delicatessen-new-york","American"
"100",100,3,2127721734,"THE RECOVERY ROOM",10021,"A",8,"The Recovery Room Bar and Grill",3.5,2,"http://www.yelp.com/biz/the-recovery-room-bar-and-grill-manhattan","American"
"101",101,3,2127572277,"5 NAPKIN BURGER",10003,"A",9,"5 Napkin Burger",3.5,2,"http://www.yelp.com/biz/5-napkin-burger-new-york","American"
"102",102,3,2123437310,"PRINCE STREET CAFE & CATERING",10012,"A",7,"Prince Street Cafe",3.5,2,"http://www.yelp.com/biz/prince-street-cafe-new-york","American"
"103",103,3,7182757755,"APPLEBEE'S NEIGHBORHOOD GRILL & BAR",11374,"A",9,"Applebees",2.5,2,"http://www.yelp.com/biz/applebees-rego-park","American"
"104",104,3,2122336593,"IMPERIAL COFFEE HOUSE",10007,"A",7,"Imperial Coffee House",3,1,"http://www.yelp.com/biz/imperial-coffee-house-new-york","American"
"105",105,3,7187288883,"SOHO CAFE AND GRILL",11105,"A",11,"Soho Sandwich Bar & Blendz",3.5,2,"http://www.yelp.com/biz/soho-sandwich-bar-and-blendz-astoria","American"
"106",106,3,2125058530,"206 LOUNGE",10012,"A",2,"Ciao Stella Corp",1.5,2,"http://www.yelp.com/biz/ciao-stella-corp-new-york","American"
"107",107,3,7183841441,"MARLOW AND SONS",NA,"A",12,"Marlow & Sons",4,3,"http://www.yelp.com/biz/marlow-and-sons-brooklyn-2","American"
"108",108,3,7182750024,"TROPIX BAR & LOUNGE",11374,"A",7,"Tropix Bar & Lounge",3.5,2,"http://www.yelp.com/biz/tropix-bar-and-lounge-rego-park","American"
"109",109,3,2122292226,"SAGAPONACK",10010,"A",9,"Sagaponack Bar & Grill",3.5,2,"http://www.yelp.com/biz/sagaponack-bar-and-grill-new-york","American"
"110",110,3,2123370404,"BLUE RIBBON",10014,"A",9,"Blue Ribbon Bakery & Cafe",4,3,"http://www.yelp.com/biz/blue-ribbon-bakery-and-cafe-new-york","American"
"111",111,3,7182745609,"ORANGE HUT",11377,"A",11,"Orange Hut",3,1,"http://www.yelp.com/biz/orange-hut-woodside","American"
"112",112,3,7187281133,"LITE BITES CAFE AND GRILL",11103,NA,2,"Lite Bites & Grill",3.5,2,"http://www.yelp.com/biz/lite-bites-and-grill-astoria","American"
"113",113,3,7182732267,"DRUNKEN MONKEY BAR & GRILL",10310,"A",8,"Drunken Monkey Bar & Grill",3.5,2,"http://www.yelp.com/biz/drunken-monkey-bar-and-grill-staten-island","American"
"114",114,3,7186069330,"SEAQUA ROOFTOP CAFE",11103,"A",11,"Seaqua Deli and Rooftop Cafe",4.5,2,"http://www.yelp.com/biz/seaqua-deli-and-rooftop-cafe-new-york","American"
"115",115,3,7182751700,"ARIEL'S CAFE",11374,"A",12,"Ariels Cafe",3.5,1,"http://www.yelp.com/biz/ariels-cafe-rego-park","American"
"116",116,3,2123437310,"PRINCE STREET CAFE & CATERING",10012,"A",7,"Prince St Cafe  and Catering",3,1,"http://www.yelp.com/biz/prince-st-cafe-and-catering-manhattan","American"
"117",117,3,7182780873,"CRESCENT CORNER",11102,"A",9,"Crescent Corner Coffee Shop",3,2,"http://www.yelp.com/biz/crescent-corner-coffee-shop-long-island-city","American"
"118",118,3,2123027195,"FREEFOODS NYC",10036,"A",10,"FreeFoods NYC",3,2,"http://www.yelp.com/biz/freefoods-nyc-new-york","American"
"119",119,3,7182752273,"BAREBURGER",11375,"A",11,"Bareburger",3.5,2,"http://www.yelp.com/biz/bareburger-forest-hills","American"
"120",120,3,2126637010,"Toast",10025,"A",11,"Toast",3,2,"http://www.yelp.com/biz/toast-new-york-8","American"
"121",121,3,2127559700,"CHEF'S KITCHEN",10022,"A",12,"Chef's Kitchen",3,1,"http://www.yelp.com/biz/chefs-kitchen-new-york","American"
"122",122,3,7185763360,"RUNNER & STONE",11215,"A",9,"Runner & Stone",4,2,"http://www.yelp.com/biz/runner-and-stone-brooklyn","American"
"123",123,3,7189424162,"PEACHES",11233,"A",12,"The Pantry",3,1,"http://www.yelp.com/biz/the-pantry-new-york","American"
"124",124,3,2123440800,"TH RITZ CARLTON NEW YORK BATTERY PARK",10004,"A",8,"2 West",3.5,4,"http://www.yelp.com/biz/2-west-new-york","American"
"125",125,3,7188228672,"ALFIE'S PLACE",10465,"A",9,"Alfie's Place",4,2,"http://www.yelp.com/biz/alfies-place-bronx-2","American"
"126",126,3,7189424255,"JAMES RESTAURANT",11238,"A",12,"James",3.5,3,"http://www.yelp.com/biz/james-brooklyn-2","American"
"127",127,3,6464846566,"WILLOW ROAD",10011,"A",6,"Willow Road",3.5,3,"http://www.yelp.com/biz/willow-road-new-york-2","American"
"128",128,3,2125108552,"CORNER SOCIAL",10027,"A",12,"Corner Social",3.5,2,"http://www.yelp.com/biz/corner-social-new-york-2","American"
"129",129,3,2123482627,"INTERNATIONAL WINGS FACTORY",10128,"A",11,"International Wings Factory",4,1,"http://www.yelp.com/biz/international-wings-factory-new-york","American"
"130",130,3,2123482627,"INTERNATIONAL WINGS FACTORY",10128,"A",11,"International Wings Factory",4,1,"http://www.yelp.com/biz/international-wings-factory-new-york","American"
"131",131,3,2127779128,"CLOISTER CAFE",10003,"B",15,"Cloister Cafe",3,2,"http://www.yelp.com/biz/cloister-cafe-new-york","American"
"132",132,3,7183846777,"LOKAL",11222,"A",5,"Lokal Mediterranean Bistro",3,2,"http://www.yelp.com/biz/lokal-mediterranean-bistro-brooklyn","American"
"133",133,3,7186062260,"THE SPARROW",11102,"A",9,"The Sparrow Tavern",4,2,"http://www.yelp.com/biz/the-sparrow-tavern-astoria","American"
"134",134,3,6463703337,"TRADING POST",10038,NA,22,"Trading Post",4.5,3,"http://www.yelp.com/biz/trading-post-new-york","American"
"135",135,3,7182788338,"NICK'S GOURMET DELI",11370,"B",25,"Nick's Gourmet Deli",4,1,"http://www.yelp.com/biz/nicks-gourmet-deli-east-elmhurst","American"
"136",136,3,7189438000,"APPLEBEE'S NEIGHBORHOOD GRILL & BAR",11216,"A",10,"Applebee's",2,2,"http://www.yelp.com/biz/applebees-brooklyn-5","American"
"137",137,3,2127778785,"FLOWERS CAFE",10002,"A",12,"Flowers Cafe",3.5,1,"http://www.yelp.com/biz/flowers-cafe-new-york","American"
"138",138,3,2127778785,"FLOWERS CAFE",10002,"A",12,"Flowers Cafe",3.5,1,"http://www.yelp.com/biz/flowers-cafe-new-york","American"
"139",139,3,7182790333,"BELL DINER",11364,"A",9,"Bell Diner",3,2,"http://www.yelp.com/biz/bell-diner-oakland-gardens","American"
"140",140,3,7182791144,"CONGA'S BAR & LOUNGE",11361,NA,45,"Conga's",3.5,2,"http://www.yelp.com/biz/congas-bayside","American"
"141",141,3,7182791472,"TOWERS RESTAURANT",11005,"A",12,"Towers Restaurant",2.5,2,"http://www.yelp.com/biz/towers-restaurant-queens","American"
"142",142,3,2122344844,"QUICK BITE",10027,"A",12,"Quick Bite",3,1,"http://www.yelp.com/biz/quick-bite-new-york","American"
"143",143,3,2126744450,"BBQ",10011,"A",13,"BBQ Restaurant",3.5,2,"http://www.yelp.com/biz/bbq-restaurant-manhattan-2","American"
"144",144,3,7185997007,"MYMOON",11211,"A",11,"MyMoon",3.5,3,"http://www.yelp.com/biz/mymoon-brooklyn","American"
"145",145,3,2126744450,"BBQ",10011,"A",13,"New York's Original BBQ Restaurant",3.5,2,"http://www.yelp.com/biz/new-yorks-original-bbq-restaurant-new-york","American"
"146",146,3,2122285100,"NORTHERN SPY FOOD CO.",10009,"A",12,"Northern Spy Food Co.",4,2,"http://www.yelp.com/biz/northern-spy-food-co-new-york","American"
"147",147,3,2122285100,"NORTHERN SPY FOOD CO.",10009,"A",12,"Northern Spy Food Co.",4,2,"http://www.yelp.com/biz/northern-spy-food-co-new-york","American"
"148",148,3,2127800262,"JOE & MISSES DOE",10003,"A",7,"JoeDoe",3.5,2,"http://www.yelp.com/biz/joedoe-new-york","American"
"149",149,3,2123337827,"PLANET HOLLYWOOD",10036,"A",12,"Planet Hollywood",3,2,"http://www.yelp.com/biz/planet-hollywood-new-york","American"
"150",150,3,7188226991,"MUSCLE MAKER GRILL",10465,"A",5,"Muscle Maker Grill",4,2,"http://www.yelp.com/biz/muscle-maker-grill-bronx","American"
"151",151,3,2126456224,"FRANCISCO'S CENTRO VASCO",10011,"A",13,"Francisco's Centro Vasco",3.5,3,"http://www.yelp.com/biz/franciscos-centro-vasco-new-york","American"
"152",152,3,2123443464,"KOYZINA KAFE",10005,"A",12,"Liberatos Pizza",3,1,"http://www.yelp.com/biz/liberatos-pizza-new-york","American"
"153",153,3,7186010234,"SHORT STOP RESTAURANT",10471,"A",7,"Shortstop Restaurant",3.5,1,"http://www.yelp.com/biz/shortstop-restaurant-bronx","American"
"154",154,3,2123484370,"KINSALE TAVERN",10128,"A",9,"Kinsale Tavern",4,1,"http://www.yelp.com/biz/kinsale-tavern-new-york","American"
"155",155,3,7186010234,"SHORT STOP RESTAURANT",10471,"A",7,"Shortstop Restaurant",3.5,1,"http://www.yelp.com/biz/shortstop-restaurant-bronx","American"
"156",156,3,2122287556,"TAMMANY HALL",10002,"A",13,"Tammany Hall",3.5,2,"http://www.yelp.com/biz/tammany-hall-new-york","American"
"157",157,3,7182734480,"DUGOUT PUB & GRILL",10302,"A",10,"Dugout Pub & Grill",4,1,"http://www.yelp.com/biz/dugout-pub-and-grill-staten-island","American"
"158",158,3,2123485500,"O'DONOGHUES",10036,"A",6,"Genesis Bar & Restaurant",3.5,2,"http://www.yelp.com/biz/genesis-bar-and-restaurant-new-york","American"
"159",159,3,6465591210,"NEAR & FAR",10002,"A",8,"Miller's Near & Far",4.5,3,"http://www.yelp.com/biz/millers-near-and-far-new-york-2","American"
"160",160,3,7182811950,"PRESS 195",11361,"A",9,"Press195",4,2,"http://www.yelp.com/biz/press195-bayside","American"
"161",161,3,7182812233,"VERANDA RESTAURANT-CAFE",11361,"A",6,"Veranda Restaurant & Cafe",3.5,2,"http://www.yelp.com/biz/veranda-restaurant-and-cafe-bayside","American"
"162",162,3,7182813100,"THE INN",11361,"B",20,"The Inn",3.5,2,"http://www.yelp.com/biz/the-inn-bayside","American"
"163",163,3,6465594793,"NSE FIFTY SIX",10022,"A",13,"Ninth Street Espresso",5,2,"http://www.yelp.com/biz/ninth-street-espresso-new-york-8","American"
"164",164,3,2127728811,"LE GOURMET",NA,"A",12,"Le Gourmet",3.5,2,"http://www.yelp.com/biz/le-gourmet-new-york","American"
"165",165,3,7186222849,"BROOKLYN CREPE AND JUICE",11217,"A",5,"Brooklyn Crepe & Juice Bar",3.5,1,"http://www.yelp.com/biz/brooklyn-crepe-and-juice-bar-new-york-2","American"
"166",166,3,7189497933,"USA DINER",11422,"B",18,"USA Diner",2.5,2,"http://www.yelp.com/biz/usa-diner-rosedale","American"
"167",167,3,2123488125,"TABLE D'HOTE",11212,"A",9,"Table d'Hôte",4,2,"http://www.yelp.com/biz/table-d-h%C3%B4te-new-york-2","American"
"168",168,3,2127770039,"WACKYWOK",10009,"A",10,"Wacky Wok",4,1,"http://www.yelp.com/biz/wacky-wok-new-york","American"
"169",169,3,2127770039,"WACKYWOK",10009,"A",10,"Wacky Wok",4,1,"http://www.yelp.com/biz/wacky-wok-new-york","American"
"170",170,3,7186223675,"FORK",11205,"A",2,"Fork Cafe",3.5,2,"http://www.yelp.com/biz/fork-cafe-brooklyn","American"
"171",171,3,7182823388,"VISIONS COCKTAIL LOUNGE",11218,"A",12,"Visions Restaurant & Bar",3,2,"http://www.yelp.com/biz/visions-restaurant-and-bar-brooklyn","American"
"172",172,3,2122409194,"WARD III",10013,NA,21,"Ward III",4,2,"http://www.yelp.com/biz/ward-iii-new-york","American"
"173",173,3,2122288490,"KNICKERBOCKER BAR & GRILL",10003,"B",14,"Knickerbocker Bar & Grill",3.5,3,"http://www.yelp.com/biz/knickerbocker-bar-and-grill-new-york","American"
